sid,presentation,point_idx,x,y,cluster_id
clustering_data_123547_1779006855371.json,2,1,749,128,2
clustering_data_123547_1779006855371.json,2,2,57,166,3
clustering_data_123547_1779006855371.json,2,3,351,66,2
clustering_data_123547_1779006855371.json,2,4,576,168,2
clustering_data_123547_1779006855371.json,2,5,136,420,1
clustering_data_123547_1779006855371.json,2,6,363,472,1
clustering_data_123547_1779006855371.json,2,7,82,152,3
clustering_data_123547_1779006855371.json,2,8,742,163,2
clustering_data_123547_1779006855371.json,2,9,510,101,2
clustering_data_123547_1779006855371.json,2,10,248,101,3
clustering_data_123547_1779006855371.json,2,11,288,492,1
clustering_data_123547_1779006855371.json,2,12,693,427,2
clustering_data_123547_1779006855371.json,2,13,766,236,2
clustering_data_123547_1779006855371.json,2,14,673,385,2
clustering_data_123547_1779006855371.json,2,15,88,488,1
clustering_data_123547_1779006855371.json,2,16,123,438,1
clustering_data_123547_1779006855371.json,2,17,561,174,2
clustering_data_123547_1779006855371.json,2,18,76,413,1
clustering_data_123547_1779006855371.json,2,19,403,234,2
clustering_data_123547_1779006855371.json,2,20,761,284,2
clustering_data_123547_1779006855371.json,2,21,416,124,2
clustering_data_123547_1779006855371.json,2,22,30,419,3
clustering_data_123547_1779006855371.json,2,23,482,31,2
clustering_data_123547_1779006855371.json,2,24,450,266,2
clustering_data_123547_1779006855371.json,2,25,334,241,3
clustering_data_123547_1779006855371.json,2,26,557,197,2
clustering_data_123547_1779006855371.json,2,27,165,105,3
clustering_data_123547_1779006855371.json,2,28,552,79,2
clustering_data_123547_1779006855371.json,2,29,151,16,3
clustering_data_123547_1779006855371.json,2,30,357,301,1
clustering_data_123547_1779006855371.json,1,1,749,128,2
clustering_data_123547_1779006855371.json,1,2,57,166,3
clustering_data_123547_1779006855371.json,1,3,351,66,2
clustering_data_123547_1779006855371.json,1,4,576,168,2
clustering_data_123547_1779006855371.json,1,5,136,420,1
clustering_data_123547_1779006855371.json,1,6,363,472,1
clustering_data_123547_1779006855371.json,1,7,82,152,3
clustering_data_123547_1779006855371.json,1,8,742,163,2
clustering_data_123547_1779006855371.json,1,9,510,101,2
clustering_data_123547_1779006855371.json,1,10,248,101,3
clustering_data_123547_1779006855371.json,1,11,288,492,1
clustering_data_123547_1779006855371.json,1,12,693,427,2
clustering_data_123547_1779006855371.json,1,13,766,236,2
clustering_data_123547_1779006855371.json,1,14,673,385,2
clustering_data_123547_1779006855371.json,1,15,88,488,1
clustering_data_123547_1779006855371.json,1,16,123,438,1
clustering_data_123547_1779006855371.json,1,17,561,174,2
clustering_data_123547_1779006855371.json,1,18,76,413,1
clustering_data_123547_1779006855371.json,1,19,403,234,2
clustering_data_123547_1779006855371.json,1,20,761,284,2
clustering_data_123547_1779006855371.json,1,21,416,124,2
clustering_data_123547_1779006855371.json,1,22,30,419,4
clustering_data_123547_1779006855371.json,1,23,482,31,2
clustering_data_123547_1779006855371.json,1,24,450,266,2
clustering_data_123547_1779006855371.json,1,25,334,241,2
clustering_data_123547_1779006855371.json,1,26,557,197,2
clustering_data_123547_1779006855371.json,1,27,165,105,3
clustering_data_123547_1779006855371.json,1,28,552,79,2
clustering_data_123547_1779006855371.json,1,29,151,16,3
clustering_data_123547_1779006855371.json,1,30,357,301,2
